Name,LEC,LAB,SEM,EXAM
CHEM*1040*0238 (7013) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMWMEM, Room 103","LAB Wed02:30PM - 05:20PMSSC, Room 2101",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0239 (7014) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMWMEM, Room 103","LAB Wed07:00PM - 09:50PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0240 (7015) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMWMEM, Room 103","LAB Wed07:00PM - 09:50PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0241 (7016) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMWMEM, Room 103","LAB Thur08:30AM - 11:20AMSSC, Room 2102",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0242 (7017) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMWMEM, Room 103","LAB Thur08:30AM - 11:20AMSSC, Room 2102",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0243 (7018) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMWMEM, Room 103","LAB Thur02:30PM - 05:20PMSSC, Room 2102",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0244 (7019) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMWMEM, Room 103","LAB Thur02:30PM - 05:20PMSSC, Room 2102",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0245 (7020) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMWMEM, Room 103","LAB Thur07:00PM - 09:50PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0246 (7021) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMWMEM, Room 103","LAB Thur07:00PM - 09:50PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0247 (7022) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMWMEM, Room 103","LAB Fri08:30AM - 11:20AMSSC, Room 2102",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0248 (7023) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMWMEM, Room 103","LAB Fri08:30AM - 11:20AMSSC, Room 2102",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0249 (7024) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMWMEM, Room 103","LAB Mon02:30PM - 05:20PMSSC, Room 2101",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0250 (7025) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMWMEM, Room 103","LAB Mon02:30PM - 05:20PMSSC, Room 2101",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0351 (7026) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Mon07:00PM - 09:50PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0352 (7027) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Mon07:00PM - 09:50PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0353 (7028) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Tues08:30AM - 11:20AMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0354 (7029) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Tues08:30AM - 11:20AMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0355 (7030) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Tues02:30PM - 05:20PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0356 (7031) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Tues02:30PM - 05:20PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0357 (7032) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Tues07:00PM - 09:50PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0358 (7033) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Tues07:00PM - 09:50PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0359 (7034) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Wed08:30AM - 11:20AMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0360 (7035) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Wed08:30AM - 11:20AMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0361 (7036) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Wed02:30PM - 05:20PMSSC, Room 2102",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0362 (7037) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Wed02:30PM - 05:20PMSSC, Room 2102",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0363 (7038) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Wed07:00PM - 09:50PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0364 (7039) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Wed07:00PM - 09:50PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0365 (7040) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Thur08:30AM - 11:20AMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0366 (7041) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Thur08:30AM - 11:20AMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0367 (7042) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Thur02:30PM - 05:20PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0368 (7043) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Thur02:30PM - 05:20PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0369 (7044) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Thur07:00PM - 09:50PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0370 (7045) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Thur07:00PM - 09:50PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0371 (7046) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Fri08:30AM - 11:20AMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0372 (7047) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Fri08:30AM - 11:20AMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0373 (7048) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Mon02:30PM - 05:20PMSSC, Room 2102",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0374 (7049) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Mon02:30PM - 05:20PMSSC, Room 2102",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0375 (7050) General Chemistry I,"LEC Mon, Wed, Fri12:30PM - 01:20PMWMEM, Room 103","LAB Mon07:00PM - 09:50PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0476 (7051) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Mon07:00PM - 09:50PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0477 (7052) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Tues08:30AM - 11:20AMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0478 (7053) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Tues08:30AM - 11:20AMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0479 (7054) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Tues02:30PM - 05:20PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0480 (7055) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Tues02:30PM - 05:20PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0481 (7056) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Tues07:00PM - 09:50PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0482 (7057) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Tues07:00PM - 09:50PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0485 (7060) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Wed02:30PM - 05:20PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0486 (7061) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Wed02:30PM - 05:20PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0487 (7062) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Wed02:30PM - 05:20PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0488 (7063) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Wed02:30PM - 05:20PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0489 (7064) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Thur08:30AM - 11:20AMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0490 (7065) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Thur08:30AM - 11:20AMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0491 (7066) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Thur08:30AM - 11:20AMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0492 (7067) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Thur08:30AM - 11:20AMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0493 (7068) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Thur02:30PM - 05:20PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0494 (7069) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Thur02:30PM - 05:20PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0495 (7070) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Fri08:30AM - 11:20AMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0496 (7071) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Fri08:30AM - 11:20AMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0497 (7072) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Mon02:30PM - 05:20PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0498 (7073) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Mon02:30PM - 05:20PMSSC, Room 2103",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0499 (7074) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Mon02:30PM - 05:20PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*04M2 (7075) General Chemistry I,"LEC Mon, Wed05:30PM - 06:50PMROZH, Room 104","LAB Mon02:30PM - 05:20PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0550 (0224) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Mon02:30PM - 05:20PMSSC, Room 2101",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*0575 (0225) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Mon07:00PM - 09:50PMSSC, Room 2104",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05A2 (9517) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Tues08:30AM - 11:20AMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05A3 (9518) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Tues08:30AM - 11:20AMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05A4 (9519) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Thur07:00PM - 09:50PMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05A5 (9520) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Thur07:00PM - 09:50PMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05A6 (9521) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Wed08:30AM - 11:20AMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05A7 (9522) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Wed08:30AM - 11:20AMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05A8 (9523) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Thur08:30AM - 11:20AMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05A9 (9524) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Thur08:30AM - 11:20AMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05B1 (9525) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Fri08:30AM - 11:20AMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05B2 (9526) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Fri08:30AM - 11:20AMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05B3 (9527) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Mon02:30PM - 05:20PMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05B4 (9528) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Mon02:30PM - 05:20PMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05B5 (9529) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Tues02:30PM - 05:20PMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05B6 (9530) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Tues02:30PM - 05:20PMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05B7 (9531) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Wed02:30PM - 05:20PMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05B8 (9532) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Wed02:30PM - 05:20PMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05B9 (9533) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Thur02:30PM - 05:20PMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05C2 (9535) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Mon07:00PM - 09:50PMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05C3 (9536) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Mon07:00PM - 09:50PMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05C4 (9537) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Tues07:00PM - 09:50PMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05C5 (9538) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Tues07:00PM - 09:50PMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*05M4 (9534) General Chemistry I,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 104","LAB Thur02:30PM - 05:20PMSSC, Room 2105",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06C9 (9542) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Wed08:30AM - 11:20AMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06D2 (9544) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Fri08:30AM - 11:20AMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06D3 (9545) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Fri08:30AM - 11:20AMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06D4 (9546) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Mon02:30PM - 05:20PMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06D5 (9547) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Mon02:30PM - 05:20PMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06D6 (9548) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Tues02:30PM - 05:20PMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06D7 (9549) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Tues02:30PM - 05:20PMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06D8 (9550) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Wed02:30PM - 05:20PMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06D9 (9551) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Wed02:30PM - 05:20PMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06E1 (9559) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Thur02:30PM - 05:20PMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06E2 (9552) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Thur02:30PM - 05:20PMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06E3 (9553) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Mon07:00PM - 09:50PMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06E4 (9554) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Mon07:00PM - 09:50PMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06E5 (9555) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Tues07:00PM - 09:50PMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06E6 (9556) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Tues07:00PM - 09:50PMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1040*06M6 (9543) General Chemistry I,"LEC Tues, Thur08:30AM - 09:50AMROZH, Room 101","LAB Wed08:30AM - 11:20AMSSC, Room 2108",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
CHEM*1050*0101 (7076) General Chemistry II,"LEC Mon, Wed, Fri11:30AM - 12:20PMROZH, Room 104","LAB Days TBATimes TBAAD-A, Room REMOTE",,EXAM Wed02:30PM - 04:30PM (2022/12/14)Room TB
CHEM*1050*0102 (7077) General Chemistry II,"LEC Mon, Wed, Fri11:30AM - 12:20PMROZH, Room 104","LAB Days TBATimes TBAAD-A, Room REMOTE",,EXAM Wed02:30PM - 04:30PM (2022/12/14)Room TB
CHEM*1050*0103 (7078) General Chemistry II,"LEC Mon, Wed, Fri11:30AM - 12:20PMROZH, Room 104","LAB Days TBATimes TBAAD-A, Room REMOTE",,EXAM Wed02:30PM - 04:30PM (2022/12/14)Room TB
CHEM*1050*0104 (7079) General Chemistry II,"LEC Mon, Wed, Fri11:30AM - 12:20PMROZH, Room 104","LAB Days TBATimes TBAAD-A, Room REMOTE",,EXAM Wed02:30PM - 04:30PM (2022/12/14)Room TB
CHEM*1050*0105 (7080) General Chemistry II,"LEC Mon, Wed, Fri11:30AM - 12:20PMROZH, Room 104","LAB Days TBATimes TBAAD-A, Room REMOTE",,EXAM Wed02:30PM - 04:30PM (2022/12/14)Room TB
CHEM*1050*0106 (7081) General Chemistry II,"LEC Mon, Wed, Fri11:30AM - 12:20PMROZH, Room 104","LAB Days TBATimes TBAAD-A, Room REMOTE",,EXAM Wed02:30PM - 04:30PM (2022/12/14)Room TB
CHEM*1060*DE01 (7094) Introductory Chemistry,,,,
CHEM*2060*01 (7095) Structure and Bonding,"LEC Tues, Thur01:00PM - 02:20PMROZH, Room 105",,,EXAM Tues08:30AM - 10:30AM (2022/12/13)Room TB
CHEM*2400*0101 (7096) Analytical Chemistry I,"LEC Tues, Thur10:00AM - 11:20AMROZH, Room 102","LAB Wed02:30PM - 05:20PMSSC, Room 3103LAB Mon02:30PM - 05:20PMSSC, Room 3103",,EXAM Sat11:30AM - 01:30PM (2022/12/10)Room TB
CHEM*2400*0103 (7098) Analytical Chemistry I,"LEC Tues, Thur10:00AM - 11:20AMROZH, Room 102","LAB Thur02:30PM - 05:20PMSSC, Room 3103LAB Tues02:30PM - 05:20PMSSC, Room 3103",,EXAM Sat11:30AM - 01:30PM (2022/12/10)Room TB
CHEM*2400*0104 (7099) Analytical Chemistry I,"LEC Tues, Thur10:00AM - 11:20AMROZH, Room 102","LAB Thur07:00PM - 09:50PMSSC, Room 3103LAB Tues07:00PM - 09:50PMSSC, Room 3103",,EXAM Sat11:30AM - 01:30PM (2022/12/10)Room TB
CHEM*2400*01XX (7100) Analytical Chemistry I,"LEC Tues, Thur10:00AM - 11:20AMROZH, Room 102",LAB Days TBATimes TBARoom TBA,,EXAM Sat11:30AM - 01:30PM (2022/12/10)Room TB
CHEM*2480*0101 (7101) Analytical Chemistry I,"LEC Tues, Thur10:00AM - 11:20AMROZH, Room 102","LAB Mon02:30PM - 05:20PMSSC, Room 3104",,EXAM Sat11:30AM - 01:30PM (2022/12/10)Room TB
CHEM*2480*0102 (7102) Analytical Chemistry I,"LEC Tues, Thur10:00AM - 11:20AMROZH, Room 102","LAB Tues02:30PM - 05:20PMSSC, Room 3104",,EXAM Sat11:30AM - 01:30PM (2022/12/10)Room TB
CHEM*2480*0103 (7103) Analytical Chemistry I,"LEC Tues, Thur10:00AM - 11:20AMROZH, Room 102","LAB Wed02:30PM - 05:20PMSSC, Room 3104",,EXAM Sat11:30AM - 01:30PM (2022/12/10)Room TB
CHEM*2480*0104 (7104) Analytical Chemistry I,"LEC Tues, Thur10:00AM - 11:20AMROZH, Room 102","LAB Thur02:30PM - 05:20PMSSC, Room 3104",,EXAM Sat11:30AM - 01:30PM (2022/12/10)Room TB
CHEM*2480*01XX (7109) Analytical Chemistry I,"LEC Tues, Thur10:00AM - 11:20AMROZH, Room 102",LAB Days TBATimes TBARoom TBA,,EXAM Sat11:30AM - 01:30PM (2022/12/10)Room TB
CHEM*2820*0101 (7110) Thermodynamics and Kinetics,"LEC Tues, Thur11:30AM - 12:50PMMCKN, Room 317","LAB Mon02:30PM - 05:20PMSSC, Room 2112",,EXAM Fri08:30AM - 10:30AM (2022/12/09)Room TB
